Year|Reviewer Name|Paper ID|Research Object|Explanation for Research Object|Evaluation Method|Explanation for Evaluation Method|Guideline of Evaluation type|Property|Property Instance|Explanation for Property Instance|Metric|Explanation for Metric|Research Question / Evaluation question|Tool Prototype|Input Data|Artifact Evaluation Package available for replication?|Threats To Validity (Raw)|Threat to Validity Guidelines|Manual Comments|paperType|Threats To Validity|Industry Paper
2020|Matthias Lohr, Katharina Großer|Islam2020|Reference Architecture|stated by the authors|Motivating Example|stated by the authors (they call it Case Study and proof-of-concept, but it is not grounded on a real application)|none referenced|property-in-relation|Usability|stated by the authors|none|only anecdotal descriptions of comparison to classical approach|how software architecture can play a role in improving the design practices of a SOAR platform?|available|available|yes|no explicit section|none referenced||full|none|no
2020|Matthias Lohr, Katharina Großer|Islam2020|Reference Architecture|stated by the authors|Motivating Example|stated by the authors (they call it Case Study and proof-of-concept, but it is not grounded on a real application)|none referenced|property-in-relation|Accuracy|stated by the authors|recall|rate of correctly executed IRPs (Incident Response Process)|how software architecture can play a role in improving the design practices of a SOAR platform?|available|available|yes|no explicit section|none referenced||full|none|no
2016|Mahmood Al-Doori, Dominik Fuchss|Kapto2016|Architecture Analysis Method|an approach that supports the understanding of software evolution at the architectural level is proposed|Case Study|As stated by the authors|none referenced|property-as-such|Effectiveness|As stated by the authors|precision|As stated by the authors|How effective is our technique at detecting applied tactics?|used|available|no|Yes|none referenced||full|Internal Validity, External Validity|no
2016|Mahmood Al-Doori, Dominik Fuchss|Kapto2016|Architecture Analysis Method|an approach that supports the understanding of software evolution at the architectural level is proposed|Case Study|As stated by the authors|none referenced|property-as-such|Effectiveness|As stated by the authors|recall|As stated by the authors|Are we able to derive an architectural evolution trend using ourapproach and interpret this trend at the architectural level?|used|available|no|Yes|none referenced||full|Internal Validity, External Validity|no
2016|Mahmood Al-Doori, Dominik Fuchss|Kapto2016|Architecture Analysis Method|an approach that supports the understanding of software evolution at the architectural level is proposed|Case Study|As stated by the authors|none referenced|none|none|As stated by the authors|detected applications and cancellations of tactics|As stated by the authors|Are we able to derive an architectural evolution trend using our approach and interpret this trend at the architectural level?|used|available|no|none|none referenced||full|none|no
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Performance|maximum sustainable throughput|maximum sustainable troughput|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Scalability|maximum number of supported concurrent connections|maximum sustainable troughput|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Availability|message loss count in case of a broker instance crashing for a reference scenario|maximum sustainable troughput|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Security|'determind by the user configuration and only to a lesser extent by the broker''s security features only side aspect'|maximum sustainable troughput|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Extensibility|offering plug-in mechanisms allowing third-party extendsions|maximum sustainable troughput|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Usability|installation and operation|maximum sustainable troughput|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Performance|maximum sustainable throughput|average latency|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Scalability|maximum number of supported concurrent connections|average latency|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Availability|message loss count in case of a broker instance crashing for a reference scenario|average latency|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Security|'determind by the user configuration and only to a lesser extent by the broker''s security features only side aspect'|average latency|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Extensibility|offering plug-in mechanisms allowing third-party extendsions|average latency|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Usability|installation and operation|average latency|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Performance|maximum sustainable throughput|Maximum number of connections|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Scalability|maximum number of supported concurrent connections|Maximum number of connections|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Availability|message loss count in case of a broker instance crashing for a reference scenario|Maximum number of connections|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Security|'determind by the user configuration and only to a lesser extent by the broker''s security features only side aspect'|Maximum number of connections|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Extensibility|offering plug-in mechanisms allowing third-party extendsions|Maximum number of connections|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Usability|installation and operation|Maximum number of connections|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Performance|maximum sustainable throughput|startup time|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Scalability|maximum number of supported concurrent connections|startup time|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Availability|message loss count in case of a broker instance crashing for a reference scenario|startup time|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Security|'determind by the user configuration and only to a lesser extent by the broker''s security features only side aspect'|startup time|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Extensibility|offering plug-in mechanisms allowing third-party extendsions|startup time|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Usability|installation and operation|startup time|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Performance|maximum sustainable throughput|message loss count|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Scalability|maximum number of supported concurrent connections|message loss count|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Availability|message loss count in case of a broker instance crashing for a reference scenario|message loss count|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Security|'determind by the user configuration and only to a lesser extent by the broker''s security features only side aspect'|message loss count|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Extensibility|offering plug-in mechanisms allowing third-party extendsions|message loss count|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Usability|installation and operation|message loss count|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Performance|maximum sustainable throughput|overhead of enabled TLS encryption on the maximum sustainable throughput|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Scalability|maximum number of supported concurrent connections|overhead of enabled TLS encryption on the maximum sustainable throughput|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Availability|message loss count in case of a broker instance crashing for a reference scenario|overhead of enabled TLS encryption on the maximum sustainable throughput|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Security|'determind by the user configuration and only to a lesser extent by the broker''s security features only side aspect'|overhead of enabled TLS encryption on the maximum sustainable throughput|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Extensibility|offering plug-in mechanisms allowing third-party extendsions|overhead of enabled TLS encryption on the maximum sustainable throughput|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Usability|installation and operation|overhead of enabled TLS encryption on the maximum sustainable throughput|stated by the authors|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Performance|maximum sustainable throughput|qualitative|descriptive|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Scalability|maximum number of supported concurrent connections|qualitative|descriptive|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Availability|message loss count in case of a broker instance crashing for a reference scenario|qualitative|descriptive|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Security|'determind by the user configuration and only to a lesser extent by the broker''s security features only side aspect'|qualitative|descriptive|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Extensibility|offering plug-in mechanisms allowing third-party extendsions|qualitative|descriptive|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2020|Sophie Schulz, Mahmood Al-Doori|Koziolek2020|Architecture Design Method|comparison of mqtt brokers for distributed IoT Edge Computing|Experiment|comparison of different brokers in Experimental setup|none referenced|property-in-relation|Usability|installation and operation|qualitative|descriptive|none|available|available|no|none|none referenced|no assignment of rq to eval|full|none|yes
2019|Matthias Lohr, Dominik Fuchß, Marco Konersmann|Malakuti2019|Architecture pattern||Argumentation||none referenced|property-as-such|Feasibility|They apply their reference architecture in their example implementation and thereby show that it can be used|none|||none|none|no|none|none referenced||full|none|yes
2020|Timur Sağlam, Jan-Philipp Töberg, Marco Konersmann|Malakuti2020|Technical Dept|paper elaborates on various causes for technical debt and discusses a stepwise approach to technical debt management|Case Study|Stated by the authors|none referenced|none|none|As experience report, the document does not state what property is evaluated||||none|none|no|none|none referenced||full|none|yes
2019|Marco Konersmann, Jan Keim|Malki2019|Architecture Decision Making|Stated in Title|Grounded Theory|Stated by the authors|zdun2018guiding|property-in-relation|Uncertainty Reduction|Section 5|Number of Decisions Nodes|Stated by authors|What are the established practices that commonly appear in service mesh based designs and architectures?|available|available|no|approach does not cover complex situations, resutls not precise enough, not generalizable due to limited scope of sources, sources of input data biased, potential misinterpretations|none referenced|The Evaluation is not Grounded Theory, but *like* Grounded Theory (see Evaluation Guideline)|full|Selection Bias, Measurement Bias, Generalizability|no
2019|Marco Konersmann, Jan Keim|Malki2019|Architecture Decision Making|Stated in Title|Grounded Theory|Stated by the authors|zdun2018guiding|property-in-relation|Uncertainty Reduction|Section 5|Number of Required Criteria Assessments in a Decision |Stated by authors|What are the dependencies of those established practices? Especially which architectural design decisions (ADDs) need to be made in service mesh based designs and architectures?|available|available|no|approach does not cover complex situations, resutls not precise enough, not generalizable due to limited scope of sources, sources of input data biased, potential misinterpretations|none referenced|The Evaluation is not Grounded Theory, but *like* Grounded Theory (see Evaluation Guideline)|full|Selection Bias, Measurement Bias, Generalizability|no
2019|Marco Konersmann, Jan Keim|Malki2019|Architecture Decision Making|Stated in Title|Grounded Theory|Stated by the authors|zdun2018guiding|property-in-relation|Uncertainty Reduction|Section 5|Number of Possible Decision Outcomes |Stated by authors|What are the decision drivers in those ADDs to adopt the practices?|available|available|no|approach does not cover complex situations, resutls not precise enough, not generalizable due to limited scope of sources, sources of input data biased, potential misinterpretations|none referenced|The Evaluation is not Grounded Theory, but *like* Grounded Theory (see Evaluation Guideline)|full|Selection Bias, Measurement Bias, Generalizability|no
2019|Marco Konersmann, Jan Keim|Malki2019|Architecture Decision Making|Stated in Title|Grounded Theory|Stated by the authors|glaser1967 |property-in-relation|Uncertainty Reduction|Section 5|Number of Decisions Nodes|Stated by authors|What are the established practices that commonly appear in service mesh based designs and architectures?|available|available|no|approach does not cover complex situations, resutls not precise enough, not generalizable due to limited scope of sources, sources of input data biased, potential misinterpretations|none referenced|The Evaluation is not Grounded Theory, but *like* Grounded Theory (see Evaluation Guideline)|full|Selection Bias, Measurement Bias, Generalizability|no
2019|Marco Konersmann, Jan Keim|Malki2019|Architecture Decision Making|Stated in Title|Grounded Theory|Stated by the authors|glaser1967 |property-in-relation|Uncertainty Reduction|Section 5|Number of Required Criteria Assessments in a Decision |Stated by authors|What are the dependencies of those established practices? Especially which architectural design decisions (ADDs) need to be made in service mesh based designs and architectures?|available|available|no|approach does not cover complex situations, resutls not precise enough, not generalizable due to limited scope of sources, sources of input data biased, potential misinterpretations|none referenced|The Evaluation is not Grounded Theory, but *like* Grounded Theory (see Evaluation Guideline)|full|Selection Bias, Measurement Bias, Generalizability|no
2019|Marco Konersmann, Jan Keim|Malki2019|Architecture Decision Making|Stated in Title|Grounded Theory|Stated by the authors|glaser1967 |property-in-relation|Uncertainty Reduction|Section 5|Number of Possible Decision Outcomes |Stated by authors|What are the decision drivers in those ADDs to adopt the practices?|available|available|no|approach does not cover complex situations, resutls not precise enough, not generalizable due to limited scope of sources, sources of input data biased, potential misinterpretations|none referenced|The Evaluation is not Grounded Theory, but *like* Grounded Theory (see Evaluation Guideline)|full|Selection Bias, Measurement Bias, Generalizability|no
2019|Marco Konersmann, Jan Keim|Malki2019|Architecture Decision Making|Stated in Title|Grounded Theory|Stated by the authors|charmaz2014|property-in-relation|Uncertainty Reduction|Section 5|Number of Decisions Nodes|Stated by authors|What are the established practices that commonly appear in service mesh based designs and architectures?|available|available|no|approach does not cover complex situations, resutls not precise enough, not generalizable due to limited scope of sources, sources of input data biased, potential misinterpretations|none referenced|The Evaluation is not Grounded Theory, but *like* Grounded Theory (see Evaluation Guideline)|full|Selection Bias, Measurement Bias, Generalizability|no
2019|Marco Konersmann, Jan Keim|Malki2019|Architecture Decision Making|Stated in Title|Grounded Theory|Stated by the authors|charmaz2014|property-in-relation|Uncertainty Reduction|Section 5|Number of Required Criteria Assessments in a Decision |Stated by authors|What are the dependencies of those established practices? Especially which architectural design decisions (ADDs) need to be made in service mesh based designs and architectures?|available|available|no|approach does not cover complex situations, resutls not precise enough, not generalizable due to limited scope of sources, sources of input data biased, potential misinterpretations|none referenced|The Evaluation is not Grounded Theory, but *like* Grounded Theory (see Evaluation Guideline)|full|Selection Bias, Measurement Bias, Generalizability|no
2019|Marco Konersmann, Jan Keim|Malki2019|Architecture Decision Making|Stated in Title|Grounded Theory|Stated by the authors|charmaz2014|property-in-relation|Uncertainty Reduction|Section 5|Number of Possible Decision Outcomes |Stated by authors|What are the decision drivers in those ADDs to adopt the practices?|available|available|no|approach does not cover complex situations, resutls not precise enough, not generalizable due to limited scope of sources, sources of input data biased, potential misinterpretations|none referenced|The Evaluation is not Grounded Theory, but *like* Grounded Theory (see Evaluation Guideline)|full|Selection Bias, Measurement Bias, Generalizability|no
2018|Jan Keim, Mahmood Al-Doori, Marco Konersmann, Thomas Kühn|Martini2018|Architectural Aspects||Case Study||runeson2009|property-in-relation|Usefulness||Perception||How do AS help practitioners in identifying ATD?|used|used|no|construct validity, internal validity, external validity, reliability|runeson2009|They ask practitioners to assess the smells etc. in the Case Study using a questionnaire. I am not sure how to label that|full|Construct Validity, Internal Validity, External Validity, Reliability|no
2018|Jan Keim, Mahmood Al-Doori, Marco Konersmann, Thomas Kühn|Martini2018|Architectural Aspects||Questionnaire||runeson2009|property-in-relation|Usefulness||Perception||How do AS help practitioners in identifying ATD?|used|used|no|construct validity, internal validity, external validity, reliability|runeson2009|They ask practitioners to assess the smells etc. in the Case Study using a questionnaire. I am not sure how to label that|full|Construct Validity, Internal Validity, External Validity, Reliability|yes
2018|Jan Keim, Mahmood Al-Doori, Marco Konersmann, Thomas Kühn|Martini2018|Architectural Aspects||Case Study||runeson2009|property-in-relation|Usefulness||Perception||How do practitioners prioritize ATD revealed through AS?|used|used|no|construct validity, internal validity, external validity, reliability|runeson2009|They ask practitioners to assess the smells etc. in the Case Study using a questionnaire. I am not sure how to label that|full|Construct Validity, Internal Validity, External Validity, Reliability|yes
2018|Jan Keim, Mahmood Al-Doori, Marco Konersmann, Thomas Kühn|Martini2018|Architectural Aspects||Questionnaire||runeson2009|property-in-relation|Usefulness||Perception||How do practitioners prioritize ATD revealed through AS?|used|used|no|construct validity, internal validity, external validity, reliability|runeson2009|They ask practitioners to assess the smells etc. in the Case Study using a questionnaire. I am not sure how to label that|full|Construct Validity, Internal Validity, External Validity, Reliability|yes
2018|Jan Keim, Mahmood Al-Doori, Marco Konersmann, Thomas Kühn|Martini2018|Architectural Aspects||Case Study||runeson2009|property-in-relation|Technical Debt||Cyclic Dependencies||How is the AS’s negative impact (interest) perceived by the practioners?|used|used|no|construct validity, internal validity, external validity, reliability|runeson2009|They ask practitioners to assess the smells etc. in the Case Study using a questionnaire. I am not sure how to label that|full|Construct Validity, Internal Validity, External Validity, Reliability|yes
2018|Jan Keim, Mahmood Al-Doori, Marco Konersmann, Thomas Kühn|Martini2018|Architectural Aspects||Questionnaire||runeson2009|property-in-relation|Technical Debt||Cyclic Dependencies||How is the AS’s negative impact (interest) perceived by the practioners?|used|used|no|construct validity, internal validity, external validity, reliability|runeson2009|They ask practitioners to assess the smells etc. in the Case Study using a questionnaire. I am not sure how to label that|full|Construct Validity, Internal Validity, External Validity, Reliability|yes
2018|Jan Keim, Mahmood Al-Doori, Marco Konersmann, Thomas Kühn|Martini2018|Architectural Aspects||Case Study||runeson2009|property-in-relation|Technical Debt||Cyclic Dependencies||What is the refactoring cost (principal) of AS perceived by the practitioners?|used|used|no|construct validity, internal validity, external validity, reliability|runeson2009|They ask practitioners to assess the smells etc. in the Case Study using a questionnaire. I am not sure how to label that|full|Construct Validity, Internal Validity, External Validity, Reliability|yes
2018|Jan Keim, Mahmood Al-Doori, Marco Konersmann, Thomas Kühn|Martini2018|Architectural Aspects||Questionnaire||runeson2009|property-in-relation|Technical Debt||Cyclic Dependencies||What is the refactoring cost (principal) of AS perceived by the practitioners?|used|used|no|construct validity, internal validity, external validity, reliability|runeson2009|They ask practitioners to assess the smells etc. in the Case Study using a questionnaire. I am not sure how to label that|full|Construct Validity, Internal Validity, External Validity, Reliability|yes
2020|Dominik Fuchss, Marco Ehl|Matias2020|Architecture Design Method|"\""We describe a systematic approach for refactoring systems\""|Case Study,Questionnaire|mentioned|none referenced|property-as-such|Feasibility|To assess the Feasibility and benefits of a systematic approach to decomposition that combines static and dynamic analysis, we conducted an industry Case Study using the developed prototype.|Aggregation of a five-level Likert scale|||available|none|no|subject bias, measurement bias|none referenced||full|Subject Bias, Selection Bias, Measurement Bias|no
2020|Dominik Fuchss, Marco Ehl|Matias2020|Architecture Design Method|"\""We describe a systematic approach for refactoring systems\""|Case Study,Questionnaire|mentioned|none referenced|property-as-such|Feasibility|To assess the Feasibility and benefits of a systematic approach to decomposition that combines static and dynamic analysis, we conducted an industry Case Study using the developed prototype.|Aggregation of a five-level Likert scale|||available|none|no|subject bias|none referenced||full|Subject Bias, Selection Bias, Measurement Bias|no
2020|Dominik Fuchss, Marco Ehl|Matias2020|Architecture Design Method|"\""We describe a systematic approach for refactoring systems\""|Case Study,Questionnaire|mentioned|none referenced|property-as-such|Feasibility|To assess the Feasibility and benefits of a systematic approach to decomposition that combines static and dynamic analysis, we conducted an industry Case Study using the developed prototype.|Aggregation of a five-level Likert scale|||available|none|no|subject bias|none referenced||full|Subject Bias, Selection Bias, Measurement Bias|no
2019|Marco Konersmann, Sophie Schulz|Mattos2019|Architecture Optimization Method|Optimize arbitrary parameters in applications|Field Experiment|Stated by the authors, different real world scenarios, have baseline to compare to|none referenced|property-as-such|Effectiveness|Compare to base line in its results on changing application parameters towards an optimum|unclear||none|used|used|no|subject bias|none referenced|Metrics unclear. Case-specific comparison|full|Selection Bias|no
2019|Anne Koziolek, Jan-Philipp Töberg|Mayrhofer2019|Reference architecture|"Authors state: \""In the next section, we apply the BASE framework to evaluate the adaptability of five architectures: three reference architectures and two proposed evolutions thereof.\""|Argumentation|The authors just argue how adaptable the reference architectures are regarding evaluation criteria by Oreizy2008|Oreizy2008|property-as-such|Adaptability|The authors evaluate how adaptable the reference architectures are, based on four subaspects defined by Oreiz2008: Behaviour, Asynchrony, State, and Execution (these could be considered sub-properties)|none|no quantitative evalutation|How adaptable are various CPPS architectures under the aspects described by the BASE Framework? (implicit, formulated by Jan-Philipp Töberg)|none|none|no|no explicit section|none referenced|The evaluation questions are given by the BASE framework as evaluation criteria for adaptable systems|full|none|yes
2016|Thomas Kühn, Sophie Schulz, Marco Konersmann|Mesli-Kesraoui2016|Architecture Analysis Method||Case Study||books.daglib.0029933|property-as-such|Completeness||compatibility, consistency, correctness, completeness ||none|used|used|no|construct validity, internal validity, external validity, and reliability|runeson2009||full|Construct Validity, Internal Validity, External Validity, Reliability|yes
